_id,ID,YEAR_FUNDED,GROUP_NAME,PROJECT_NAME,GARDEN_TYPE,NUMBER_OF_GARDENS,ESTIMATED_GARDEN_SIZE,NEIGHBOURHOOD_NUMBER,NIA_OR_EN,PRIMARY_LOCATION_NAME,PRIMARY_GARDEN_ADDRESS,POSTAL_CODE,IS_INDIGENOUS_GARDEN,WARD_NAME,WARD_NUMBER,DESCRIPTION,IMAGE_NAME,IMAGE_ALT_TEXT,geometry
11,11,2020,Green Thumbs Growing Kids,Flower Power,School Learning Garden,3,5260,74,None,Rose Avenue Junior Public School,675 Ontario Street,M4X 1N4,None,Toronto Centre,13,None,None,None,"{""coordinates"": [[-79.3727881, 43.67031647]], ""type"": ""MultiPoint""}"
12,12,2020,Greenland Pollinator Garden,Greenland Public School & Community Pollinator Waystation,School Learning Garden,1,37.2,42,None,Greenland Public School,15 Greenland Road,M3C 1N1,None,Don Valley East,16,None,None,None,"{""coordinates"": [[-79.33853616, 43.73361563]], ""type"": ""MultiPoint""}"
13,13,2020,Harbord Collegiate PARA Pollinator Gardens,Harbord Collegiate Pollinator Garden,School Learning Garden,3,191,80,None,Harbord Collegiate Institute,286 Harbord Street,M6G 1G5,None,University-Rosedale,11,None,None,None,"{""coordinates"": [[-79.41426662, 43.66128952]], ""type"": ""MultiPoint""}"
14,14,2020,Hopewell Community Garden,Hopewell Pollinator Garden,City Park,1,475,108,None,Walter Saunders Memorial Park,440 Hopewell Avenue,MHX 2WX,None,Eglinton-Lawrence,8,None,None,None,"{""coordinates"": [[-79.44716023, 43.69993135]], ""type"": ""MultiPoint""}"
15,15,2020,King George Junior Public School Parent Council,King George Pollinator Garden,School Learning Garden,1,4.5,89,None,King George Junior Public School ,25 Rexford Road,M6S 2M2,None,Parkdale-High Park,4,None,None,None,"{""coordinates"": [[-79.48688675, 43.66316269]], ""type"": ""MultiPoint""}"
16,16,2020,Naadmaagit Ki (NKG) âHelpers of the Earthâ,"Aamoog, Memengwaag miinwaa Nenookaasiwag (Bees, Butterflies & Hummingbirds)",Spiritual Centre Garden,1,140,84,None,St. Anne's Anglican Church,270 Gladstone Avenue,M6J 3L6,Y,Davenport,9,None,None,None,"{""coordinates"": [[-79.43053046, 43.65065616]], ""type"": ""MultiPoint""}"
17,17,2020,Neighbours4Nectar,Neighbours4Nectar,Multiple Front Yard Gardens,7,43.75,60,None,Private Residential Property,32 Westbrook Avenue,M4C 2G4,None,Beaches-East York,19,None,None,None,"{""coordinates"": [[-79.30704302, 43.69349851]], ""type"": ""MultiPoint""}"
18,18,2020,Rain Gardens United (RGU),Greenwood Pollinator Gardens Phase 1 â Rain Gardens,"Boulevard Garden, Rain Garden",3,42.6,70,None,Private Residential Property,166 Alton Avenue,M4L 2M5,None,Toronto-Danforth,14,None,None,None,"{""coordinates"": [[-79.33010164, 43.6682729]], ""type"": ""MultiPoint""}"
19,19,2020,Ravina Community Garden,Ravina Community Garden Pollinator Project,City Park,1,78.8,88,None,Ravina Gardens,290 Clendenan Avenue,M1P 4N7,None,Parkdale-High Park,4,None,None,None,"{""coordinates"": [[-79.47154608, 43.65906088]], ""type"": ""MultiPoint""}"
20,20,2020,Regenesis,Pollinate UTSC,School Learning Garden,4,70,134,None,"University of Toronto Scarborough, Joan Foley Hall
",1265 Military Trail,M1C 1A4,None,Scarborough-Rouge Park,25,None,None,None,"{""coordinates"": [[-79.18628948, 43.78388685]], ""type"": ""MultiPoint""}"
21,21,2020,Resurrection Garden,Resurrection Garden,Spiritual Centre Garden,7,28,59,None,Church of the Ressurection,1100 Woodbine Avenue,M4C 4C7,None,Beaches-East York,19,None,None,None,"{""coordinates"": [[-79.31478944, 43.68908621]], ""type"": ""MultiPoint""}"
22,22,2020,Rouge Valley Foundation,Bombus Native Garden Project,Communal Garden,4,73,144,None,Rouge Valley Conservation Centre,1749 Meadowvale Road,M1B 5W8,None,Scarborough-Rouge Park,25,None,None,None,"{""coordinates"": [[-79.17100139, 43.81903673]], ""type"": ""MultiPoint""}"
23,23,2020,Scarborough Arts,Pollinator Art - Planting and Botanical Illustration Program,City Park,1,46.5,122,None,Scarborough Arts,1859 Kingston Road,M1N 3J7,None,Scarborough Southwest,20,None,None,None,"{""coordinates"": [[-79.25878546, 43.69539466]], ""type"": ""MultiPoint""}"
24,24,2020,Scarborough Bluffs Community Association,Bluffs Pollinator Garden,City Park,1,35,122,None,Sandown Park,50 Natal Avenue,M1N 3V4,None,Scarborough Southwest,20,None,None,None,"{""coordinates"": [[-79.25303103, 43.71001685]], ""type"": ""MultiPoint""}"
25,25,2020,St. Wilfrid Catholic School ECO Rangers,School Grounds Greening Project,School Learning Garden,3,11.5,27,NIA,St. Wilfrid Catholic School,1685 Finch Avenue West,M3J 2G8,None,Humber River-Black Creek,7,None,None,None,"{""coordinates"": [[-79.50259411, 43.76004594]], ""type"": ""MultiPoint""}"
26,26,2020,"Stonegate Community Health Centre, Bell Manor Park Community Garden & ArtsEtobicoke Pollinator Garden Partnership",Bell Manor Park Community Pollinator Garden,City Park,1,46.5,16,None,Bell Manor Park,1 Bayside Lane,M8Y 1Y9,None,Etobicoke-Lakeshore,3,None,None,None,"{""coordinates"": [[-79.49246503, 43.6376796]], ""type"": ""MultiPoint""}"
27,27,2020,Sunshine Centre for Seniors,Sunshine Pollinator Gardens: Seniors and Youth Bee-utify Our Community,City Park,3,6.6,166,None,Sunshine Centre for Seniors,60 Lakeshore Avenue,M5J 1X8,None,Spadina-Fort York,10,None,None,None,"{""coordinates"": [[-79.3553871, 43.62876317]], ""type"": ""MultiPoint""}"
28,28,2020,The Argonaut Rowing Club,Argonaut Growing Club Pollinator Project,Communal Garden,1,140,85,NIA,The Argonaut Rowing Club,1225 Lake Shore Boulevard West,M6K 3C1,None,Parkdale-High Park,4,None,None,None,"{""coordinates"": [[-79.43605117, 43.63214232]], ""type"": ""MultiPoint""}"
29,29,2020,The Bain Co-op Pollinator Working Group,The Bain Butterfly Way Project,Multiple Front Yard Gardens,5,36.4,68,None,Bain Co-op,100 Bain Avenue,M4K 1E8,None,Toronto-Danforth,14,None,None,None,"{""coordinates"": [[-79.34884772, 43.67206024]], ""type"": ""MultiPoint""}"
30,30,2020,The Toronto Heschel School,Project Nectar,School Learning Garden,6,18,33,None,The Toronto Heschel School,819 Sheppard Avenue West,M3H 2T3,None,York Centre,6,None,None,None,"{""coordinates"": [[-79.45084829, 43.75233957]], ""type"": ""MultiPoint""}"
31,31,2020,Toronto Chinese Mennonite Church Community Garden,Toronto Chinese Mennonite Church Community Garden,Spiritual Centre Garden,1,24.2,59,None,Toronto Chinese Mennonite Church,1038 Woodbine Avenue,M4C 4C4,None,Beaches-East York,19,None,None,None,"{""coordinates"": [[-79.31388156, 43.68744236]], ""type"": ""MultiPoint""}"
32,32,2020,Wandering Spirit School Parent Council,Gitigaan,School Learning Garden,2,55,69,None,Wandering Spirit School,16 Phin Avenue,M4J 3T2,Y,Toronto-Danforth,14,None,None,None,"{""coordinates"": [[-79.33663606, 43.67914024]], ""type"": ""MultiPoint""}"
33,33,2020,Windermere United Church and Friends' Pollinator Project,Windermere United Church and Friends' Pollinator Project,Spiritual Centre Garden,4,18.6,87,None,Windermere United Church,356 Windermere Avenue,M6S 3L3,None,Parkdale-High Park,4,None,None,None,"{""coordinates"": [[-79.48042415, 43.64880572]], ""type"": ""MultiPoint""}"
34,34,2021,757 Gardening Committee,Bee Kind Pollinator Rockery Garden,Multi-Residential Garden,1,84,121,NIA,Metropolitan Toronto Condo,757 Victoria Park Avenue,M1L 4P2,None,Scarborough Southwest,20,None,None,None,"{""coordinates"": [[-79.2882894, 43.69241898]], ""type"": ""MultiPoint""}"
35,35,2021,75th Old Mill Scouts,75th Old Mill Toronto Pollinator Garden,Spiritual Centre Garden,1,48,89,None,St. Paul's Anglican Church,404 Willard Avenue,M6S 3R5,None,Parkdale-High Park,4,None,None,None,"{""coordinates"": [[-79.4839622, 43.65545888]], ""type"": ""MultiPoint""}"
36,36,2021,Agincourt Community Services Association (ACSA),Chester Le Pollinator Pad,City Park,1,55,147,EN,Chester Le Park,255 Chester Le Boulevard,M1W 2N4,None,Scarborough-Agincourt,22,None,None,None,"{""coordinates"": [[-79.33226028, 43.79968137]], ""type"": ""MultiPoint""}"
37,37,2021,CALC Secondary School,CALC Secondary Pollinator Garden,School Learning Garden,1,100,68,None,City Adult Learning Centre,1 Danforth Avenue,M4K 1M8,None,Toronto-Danforth,14,None,None,None,"{""coordinates"": [[-79.3600608, 43.67491945]], ""type"": ""MultiPoint""}"
38,38,2021,Flemingdon Park Ministry,The Common Table Farm Labyrinth & Pollinator Garden,Spiritual Centre Garden,1,180,149,None,Flemingdon Park Ministry,1 Laurentide Drive,M4R 1A7,None,Don Valley East,16,None,None,None,"{""coordinates"": [[-79.33718465, 43.75164099]], ""type"": ""MultiPoint""}"
39,39,2021,FoodShare Toronto,Flemo Farm Pollinator Corridor Project,Communal Garden,1,47,44,NIA,FoodShare Flemo Farm,150 Grenoble Drive,M3A 3C6,None,Don Valley East,16,None,None,None,"{""coordinates"": [[-79.32660348, 43.71353072]], ""type"": ""MultiPoint""}"
40,40,2021,Fr. Henry Carr Environmental Club,Pollinator Garden,School Learning Garden,1,100,1,None,Father Henry Carr Catholic Secondary School,1760 Martin Grove Road,M3C 1E3,None,Etobicoke-North,1,None,None,None,"{""coordinates"": [[-79.5923867, 43.73578369]], ""type"": ""MultiPoint""}"
41,41,2021,Friends of Allan Gardens,The Pollinator Playground at Allan Gardens,City Park,1,15,73,None,Allan Gardens,19 Horticultural Avenue,M9V 3S4,None,Toronto Centre,13,None,None,None,"{""coordinates"": [[-79.37480223, 43.661419]], ""type"": ""MultiPoint""}"
42,42,2021,Friends of Guild Park / Guildwood Butterflyway Project,Guild Park Pollinator Garden,City Park,1,40,140,None,Guild Park,201 Guildwood Parkway,M5A 2P2,None,Scarborough-Guildwood,24,None,None,None,"{""coordinates"": [[-79.19166629, 43.74771606]], ""type"": ""MultiPoint""}"
43,43,2021,Garden Club of Toronto,Metropolitan United Church Pollinator Garden,Spiritual Centre Garden,2,166,168,None,Metropolitan United Church,56 Queen Street East,M1E 1P5,None,Toronto Centre,13,None,None,None,"{""coordinates"": [[-79.37666025, 43.65385432]], ""type"": ""MultiPoint""}"
44,44,2021,Harmony Community Food Centre,The Harmony Pollinator Garden,Communal Garden,9,12,54,None,Harmony Community Food Centre,2 Gower Street,M5C 2Z3,None,Beaches-East York,19,None,None,None,"{""coordinates"": [[-79.29893272, 43.7021797]], ""type"": ""MultiPoint""}"
45,45,2021,Indigenous Peoples Solidarity Group (IPSG),Right Relations Garden,"Spiritual Centre Garden, Rain Garden",7,140,94,None,St. Matthew's United Church,729 St. Clair Avenue West,M4B 1E2,Y,Toronto-St. Paul's,12,None,None,None,"{""coordinates"": [[-79.42747455, 43.68113281]], ""type"": ""MultiPoint""}"
46,46,2021,JBV Gardening Committee,Pollinating South Parkdale: A Cooperative Community Garden,Multi-Residential Garden,1,172,85,NIA,John Bruce Village Cooperative,18 Elm Grove Avenue,M6G 3J4,None,Parkdale-High Park,4,None,None,None,"{""coordinates"": [[-79.43130385, 43.63920895]], ""type"": ""MultiPoint""}"
47,47,2021,John A Leslie Parent Council,JAL Bee-utiful Garden Expansion Project,School Learning Garden,4,38,123,None,John A Leslie Public School,459 Midland Avenue,M1N 4A7,None,Scarborough Southwest,20,None,None,None,"{""coordinates"": [[-79.24905937, 43.71410868]], ""type"": ""MultiPoint""}"
48,48,2021,Lambton Park Community School,Lambton Park Environmental Learning Garden,School Learning Garden,1,19,111,NIA,Lambton Park Community School,50 Bernice Crescent,M6K 2J1,None,York South-Weston,5,None,None,None,"{""coordinates"": [[-79.49831076, 43.66758456]], ""type"": ""MultiPoint""}"
49,49,2021,Malvern Family Resource Centre,Eco-Learning Pollinator Garden,Communal Garden,1,2023,143,None,Malvern Family Resource Centre,90 Littles Road,M6N 1W9,None,Scarborough-Rouge Park,25,None,None,None,"{""coordinates"": [[-79.20528668, 43.81829229]], ""type"": ""MultiPoint""}"
50,50,2021,Monarch Park Pollinator Partners (MPPP),Monarch Park Collegiate Institute Pollinator Gardens,School Learning Garden,3,62,65,None,Monarch Park Collegiate Institute,1 Hanson Street,M1B 5E2,None,Toronto-Danforth,14,None,None,None,"{""coordinates"": [[-79.32277189, 43.67928073]], ""type"": ""MultiPoint""}"
51,51,2021,OCAD University,Friendship Community Garden,School Learning Garden,1,81,78,None,OCAD University,100 McCaul Street,M4J 1G6,None,Spadina-Fort York,10,None,None,None,"{""coordinates"": [[-79.39120499, 43.65300337]], ""type"": ""MultiPoint""}"
52,52,2021,Scadding Court Community Centre & Friends of Alexandra Park,Alexandra Park Pollinator Power,City Park,2,35,78,None,Alexandra Park,275 Bathurst Street,M5T 1W1,None,Spadina-Fort York,10,None,None,None,"{""coordinates"": [[-79.40504191, 43.65109968]], ""type"": ""MultiPoint""}"
53,53,2021,Shirley Street Junior Public School Gardeners,Shirley Street Pollinator Garden,School Learning Garden,1,222,84,None,Shirley Street Junior Public School,38 Shirley Street,M5T 2S4,None,Davenport,9,None,None,None,"{""coordinates"": [[-79.43672217, 43.64852423]], ""type"": ""MultiPoint""}"
54,54,2021,South Parkdale Pollinators,Springhurst and Close Pollinator Corridor,Multiple Front Yard Gardens,9,75,85,NIA,Private Residential Property,78 Springhurst Avenue ,M6K 1C7,None,Parkdale-High Park,4,None,None,None,"{""coordinates"": [[-79.43286484, 43.63383811]], ""type"": ""MultiPoint""}"
55,56,2021,St. Basil-the-Great College Pollinators,Pollinator Garden,School Learning Garden,1,100,23,None,St. Basil-the-Great College School,20 Starview Lane,M9M 3B2,None,Humber River-Black Creek,7,None,None,None,"{""coordinates"": [[-79.53332748, 43.72770719]], ""type"": ""MultiPoint""}"
56,57,2021,St. Cyril Parent Council,St.Cyril Pollinator Garden,School Learning Garden,1,40,37,None,St. Cyril Catholic School,18 Kempford Boulevard,M8Y 2Z7,None,Willowdale,18,None,None,None,"{""coordinates"": [[-79.41662798, 43.77695352]], ""type"": ""MultiPoint""}"
57,58,2021,St. Louis Catholic School,St. Louis Pollinator Garden,School Learning Garden,1,12,16,None,St. Louis Catholic School,11 Morgan Avenue,M2N 2B9,None,Etobicoke-Lakeshore,3,None,None,None,"{""coordinates"": [[-79.5009257, 43.62648617]], ""type"": ""MultiPoint""}"
58,59,2021,Sustainability at Centennial,Pollinators at Progress,School Learning Garden,1,230,142,NIA,Centennial College,941 Progress Avenue,M1G 3T8,None,Scarborough-Guildwood,24,None,None,None,"{""coordinates"": [[-79.22702643, 43.78526466]], ""type"": ""MultiPoint""}"
59,60,2021,Taddlewood Heritage Association,"Butterfly Entrance, Wychwood Barns Park",Boulevard Garden,1,20,94,None,Wychwood Barns Park,18 Slade Avenue,M6G 3A1,None,Toronto-St. Paul's,12,None,None,None,"{""coordinates"": [[-79.42378248, 43.67924447]], ""type"": ""MultiPoint""}"
60,61,2021,The Neighbourhood Organization (TNO),TNO Pollinator Garden,City Park,1,19,55,NIA,Leaside Park,5 Leaside Park Drive ,M9V 3Z5,None,Don Valley West,15,None,None,None,"{""coordinates"": [[-79.34983662, 43.7023173]], ""type"": ""MultiPoint""}"
61,62,2021,Thorncliffe Park Women's Committee,Thorncliffe Pollinator Garden,City Park,2,400,55,NIA,RV Burgess Park,46 Thorncliffe Park Drive,M4H 1K2,None,Don Valley West,15,None,None,None,"{""coordinates"": [[-79.34276179, 43.70278664]], ""type"": ""MultiPoint""}"
62,63,2021,Toronto Birth Centre,TâKaranto Ondaadizi-Gamig Mushkiki Gitigaan - Toronto Birth Centre Medicine Garden,Communal Garden,1,5,72,NIA,Regent Park Community Garden,Sackville Street,M5A 3G1,Y,Toronto Centre,13,None,None,None,"{""coordinates"": [[-79.36307503, 43.66101778]], ""type"": ""MultiPoint""}"
63,64,2021,Toronto Green Community,Eglinton Park Community Garden,City Park,1,500,100,None,North Toronto Memorial Community Centre,200 Eglinton Avenue West,M5A 2C6,None,Eglinton-Lawrence,8,None,None,None,"{""coordinates"": [[-79.40462301, 43.70610583]], ""type"": ""MultiPoint""}"
64,65,2021,Woburn JR. P. S.,Woburn JR P. S. Pollinator Garden,School Learning Garden,6,5,142,NIA,Woburn Junior Public School,40 Dormington Drive,M1G 3N2,None,Scarborough-Guildwood,24,None,None,None,"{""coordinates"": [[-79.22700167, 43.77950279]], ""type"": ""MultiPoint""}"
65,66,2022,All Saints Pollinators,All Saints Pollinator Garden,Spiritual Centre Garden,3,90.4,73,None,All Saints Church-Community Centre,315 Dundas Street East,"
M5A 2A2
",None,Toronto Centre,13,None,None,None,"{""coordinates"": [[-79.37082045, 43.65818808]], ""type"": ""MultiPoint""}"
66,67,2022,Braeburn Neighbourhood Place & Boys and Girls Club,Braeburn Kids Are Making a Difference!,Communal Garden,1,65,5,NIA,Braeburn Neighbourhood Place,75 Tandridge Crescent,M9W 2N9,None,Etobicoke North,1,None,None,None,"{""coordinates"": [[-79.5467221, 43.72888127]], ""type"": ""MultiPoint""}"
67,68,2022,Carlton Park Pollinators ,Carlton Park Pollinator Patch,City Park,1,24,171,None,Carlton Park,20 Edith Avenue,M6P 3T5,None,Davenport,9,None,None,None,"{""coordinates"": [[-79.45491152, 43.66627055]], ""type"": ""MultiPoint""}"
68,69,2022,Corktown Residents and Business Association,Corktown Community Pollinator Garden,City Park,1,139.3,73,None,Sackville Playground,5 Ashby Place,M5A 1L4,None,Toronto Centre,13,None,None,None,"{""coordinates"": [[-79.35784443, 43.65634336]], ""type"": ""MultiPoint""}"
69,70,2022,Cornell's Butterfly Garden,Cornell's Butterfly Garden,School Learning Garden,1,148.6,141,NIA,Cornell Junior Public School,61 Holmfirth Terrace,M1G 1G8,None,Scarborough-Guildwood,24,None,None,None,"{""coordinates"": [[-79.21803822, 43.75939257]], ""type"": ""MultiPoint""}"
70,71,2022,Green Industries Program at David and Mary Thomson Collegiate Institute,David and Mary Thomson Pollinator Garden,School Learning Garden,1,224,156,None,David and Mary Thomson Collegiate Institute,125 Brockley Drive,M1P 0E3,None,Scarborough Centre,21,None,None,None,"{""coordinates"": [[-79.26340127, 43.75567005]], ""type"": ""MultiPoint""}"
71,72,2022,Dewson Street Junior Public School,Dewson Pollinator Gardens,School Learning Garden,1,185.8,80,None,Dewson Street Junior Public School,65 Concord Avenue,M6H 2N9,None,Davenport,9,None,None,None,"{""coordinates"": [[-79.42405443, 43.65567509]], ""type"": ""MultiPoint""}"
72,73,2022,Eastview Gardeners,Eastview Gardeners,School Learning Garden,1,41.8,136,NIA,Eastview Public School,20 Waldock Street,M1E 2E5,None,Scarborough-Guildwood,24,None,None,None,"{""coordinates"": [[-79.19128044, 43.75896336]], ""type"": ""MultiPoint""}"
73,74,2022,San Lorenzo Latin American Community Centre,El Jardin San Lorenzo,Spiritual Centre Garden,3,45,31,EN,San Lorenzo Latin American Community Centre,22 Wenderly Drive,M6B 2N9,None,Eglinton-Lawrence,8,None,None,None,"{""coordinates"": [[-79.45305743, 43.71104895]], ""type"": ""MultiPoint""}"
74,75,2022,Annette Street Primary School & High Park Alternative School,Gardens,School Learning Garden,3,204.3,88,None,Annette Street Primary School ,265 Annette Street,M6P 1R3,None,Parkdale-High Park,4,None,None,None,"{""coordinates"": [[-79.47283127, 43.66142319]], ""type"": ""MultiPoint""}"
75,76,2022,Friends of Smythe Park,Healthy Park Healthy People,"City Park, Rain Garden",2,74.3,111,NIA,Smythe Park,101 Black Creek Boulevard,M6N 2K6,None,York South-Weston,5,None,None,None,"{""coordinates"": [[-79.50258451, 43.67452915]], ""type"": ""MultiPoint""}"
76,77,2022,Friends of Henrietta Park,Henrietta Park Pollinator Garden,City Park,1,124.8,111,NIA,Henrietta Park,41 Brittannia Avenue,M6N 1S4,None,York South-Weston,5,None,None,None,"{""coordinates"": [[-79.48088538, 43.67114774]], ""type"": ""MultiPoint""}"
77,78,2022,Huron-Sussex Community Garden,Huron-Sussex Pollinator Garden,Communal Garden,1,11.1,79,None,Huron-Sussex Community Garden,360 Huron Street,M5S 2G3,None,University-Rosedale,11,None,None,None,"{""coordinates"": [[-79.40063321, 43.6640989]], ""type"": ""MultiPoint""}"
78,79,2022,Pierre Elliott Trudeau Elementary School Community,Jardin de Pollen,School Learning Garden,3,43.2,81,None,Pierre Elliott Trudeau Elementary School,65 Grace Street,M6J 2S4,None,University-Rosedale,11,None,None,None,"{""coordinates"": [[-79.41409749, 43.65199103]], ""type"": ""MultiPoint""}"
79,80,2022,Jardin Des Marveilles,Jardin des merveilles,School Learning Garden,5,65.1,43,NIA,Jeanne-Lajoie Elementary School,150 Carnforth Road,M4A 2H6,None,Don Valley East,16,None,None,None,"{""coordinates"": [[-79.32149457, 43.73449677]], ""type"": ""MultiPoint""}"
80,81,2022,Jonesville Allotments Pollinator Group,Jonesville Allotments Pollinator Project,City Park,1,46.4,43,NIA,Jonesville Allotments,50 Jonesville Crescent,M4A 1A2,None,Don Valley East,16,None,None,None,"{""coordinates"": [[-79.30635422, 43.72580602]], ""type"": ""MultiPoint""}"
81,82,2022,Roden School Council,Kindie Heart Garden,School Learning Garden,1,25.5,65,None,Roden Public School,151 Hiawatha Road,M4L 2Y1,None,Toronto-Danforth,14,None,None,None,"{""coordinates"": [[-79.32307648, 43.67387327]], ""type"": ""MultiPoint""}"
82,83,2022,Parkdale Junior and Senior Public School Garden Committee,Parkdale Junior and Senior Public School Indigenous Medicine/Pollinator Garden,School Learning Garden,1,4.6,86,None,Parkdale Junior and Senior Public School,78 Seaforth Avenue,M6K 3L2,None,Parkdale-High Park,4,None,None,None,"{""coordinates"": [[-79.43679858, 43.64318729]], ""type"": ""MultiPoint""}"
83,84,2022,Bloor Annex BIA,Pollinate the Annex,Multiple Boulevard Gardens,4,185.8,79,None,Public Pollinator Pathway,425 Bloor Street West,M5S 1X6,None,University-Rosedale,11,None,None,None,"{""coordinates"": [[-79.40491735, 43.6662113]], ""type"": ""MultiPoint""}"
84,85,2022,Manor Road United Church,Pollinator Garden @ the Manor,Spiritual Centre Garden,1,25.6,99,None,Manor Road United Church,240 Manor Road East,M4S 1R8,None,Don Valley West,15,None,None,None,"{""coordinates"": [[-79.3855787, 43.70535451]], ""type"": ""MultiPoint""}"
85,86,2022,The PACT Urban Peace Program,Pollinator Garden @ Thistletown CI,School Learning Garden,1,46.4,4,None,Thistletown Collegiate Institute,20 Fordwich Crescent,M9W 2T4,None,Etobicoke North,1,None,None,None,"{""coordinates"": [[-79.56245594, 43.72773515]], ""type"": ""MultiPoint""}"
86,87,2022,Toronto Botanical Garden,Pollinator Garden at Toronto Botanical Garden,City Park,1,269.4,42,None,Toronto Botanical Garden,777 Lawrence Avenue East,M3C 1P2,None,Don Valley West,15,None,None,None,"{""coordinates"": [[-79.35866702, 43.73434615]], ""type"": ""MultiPoint""}"
87,88,2022,Pollinator Pedestrian Access Path - Pilkington to Santa Monica,Pollinator Pedestrian Access Garden Pilkington to Santamonica,Multiple Front Yard Gardens,6,303.21,120,None,Private Residential Property,73 Newlands Avenue,"M1L 4H5
",None,Scarborough Southwest,20,None,None,None,"{""coordinates"": [[-79.27424317, 43.70861698]], ""type"": ""MultiPoint""}"
88,89,2022,Withrow Junior Public School,Pollinators at Withrow School,School Learning Garden,2,278.7,68,None,Withrow Junior Public School,25 Bain Avenue,M4K 1E5,None,Toronto-Danforth,14,None,None,None,"{""coordinates"": [[-79.35212966, 43.67046046]], ""type"": ""MultiPoint""}"
89,90,2022,Hillside Outdoor Education School,Pollinators' Paradise,School Learning Garden,5,8.3,144,None,Hillside Outdoor Education School,2259 Meadowvale Road,M1X 1R2,None,Scarborough-Rouge Park,25,None,None,None,"{""coordinates"": [[-79.17903679, 43.82766898]], ""type"": ""MultiPoint""}"
90,92,2022,Feed Scarborough,Scarborough Junction Pollinator Garden,Communal Garden,1,59.4,120,None,Feed Scarborough Office,3595 St Clair Avenue East,M1K 1L8,None,Scarborough Southwest,20,None,None,None,"{""coordinates"": [[-79.25681349, 43.71654978]], ""type"": ""MultiPoint""}"
91,93,2022,Art City in St. James Town,SEED (Student Environment Education Demonstration) Garden,Communal Garden,1,13.9,74,None,Art City St. James Town,545 Sherbourne Street,M4X 1W5,None,Toronto Centre,13,None,None,None,"{""coordinates"": [[-79.37482997, 43.66855823]], ""type"": ""MultiPoint""}"
92,94,2022,St. Boniface Elementary School,St. Boniface Elementary School Pollinator Garden,School Learning Garden,1,59.4,139,NIA,St. Boniface Elementary School,20 Markanna Drive,M1M 2J1,None,Scarborough Southwest,20,None,None,None,"{""coordinates"": [[-79.21981765, 43.7405509]], ""type"": ""MultiPoint""}"
93,96,2022,Community History Project,The Community History Project,City Park,1,7.4,94,None,The Tollkeepers Park,750 Davenport Road,M6G 2B3,None,Toronto-St. Paul's,12,None,None,None,"{""coordinates"": [[-79.41699574, 43.67698408]], ""type"": ""MultiPoint""}"
94,97,2022,The Junction Business Improvement Area (BIA),The Junction Butterfly Gardens,Boulevard Garden,22,18.3,90,None,BIA Pollinator Pathway,2859 Dundas Street West,M6P 1Y9,None,Parkdale-High Park,4,None,None,None,"{""coordinates"": [[-79.46484383, 43.66515134]], ""type"": ""MultiPoint""}"
95,99,2022,The AppleTree Group,The Outdoor Classroom Project,City Park,1,18.5,174,None,June Rowlands Park,220 Davisville Avenue,M4S 2K4,None,Toronto-St. Paul's,12,None,None,None,"{""coordinates"": [[-79.3882165, 43.70028308]], ""type"": ""MultiPoint""}"
96,100,2022,The St. Clair Diggers,The St. Clair Pollinator Patch,Spiritual Centre Garden,4,49.1,120,None,St. Clair Missionary Church,3113 St Clair Avenue East,M1L 1T9,None,Scarborough Southwest,20,None,None,None,"{""coordinates"": [[-79.29356548, 43.70903048]], ""type"": ""MultiPoint""}"
97,101,2022,Bruce Green Committee (BGC),The Valerie Mah Pollination Station,School Learning Garden,2,22.2,70,None,Bruce Public School,51 Larchmount Avenue,M4M 2Y6,None,Toronto-Danforth,14,None,None,None,"{""coordinates"": [[-79.33333606, 43.66103581]], ""type"": ""MultiPoint""}"
98,102,2022,Thorncliffe Park Urban Farmers (TPUF),Thorncliffe Park Pollinator Garden,Communal Garden,4,576,55,NIA,Thorncliffe Park,53 Thorncliffe Park Drive,M4H 1L1,None,Don Valley West,15,None,None,None,"{""coordinates"": [[-79.34146258, 43.70299061]], ""type"": ""MultiPoint""}"
99,103,2022,SKETCH Working Arts,Weave and Mend Pollinator Garden,Communal Garden,1,18.5,81,None,SKETCH Working Arts,180 Shaw Street,M6J 2W5,None,Spadina-Fort York,10,None,None,None,"{""coordinates"": [[-79.41747167, 43.64689328]], ""type"": ""MultiPoint""}"
100,104,2022,West Bend Green Community,West Bend Butterfly Way,Boulevard Garden,4,640,88,None,Private Residential Property,31 Indian Road Crescent,M6P 2J8,None,Parkdale-High Park,4,None,None,None,"{""coordinates"": [[-79.45800342, 43.65711626]], ""type"": ""MultiPoint""}"
101,105,2022,Dixon Hall,Dixon Hall Peace Gardens,Communal Garden,4,33.8,72,NIA,Dixon Hall,51 Wyatt Avenue,M5A 1Y7,None,Toronto Centre,13,None,None,None,"{""coordinates"": [[-79.35883562, 43.66024047]], ""type"": ""MultiPoint""}"
102,106,2023,188th Toronto Girl Guide Unit,Guides for Pollinators,Spiritual Centre Garden,1,10,63,None,The Beaches Presbyterian Church,65 Glen Manor Drive,M4E 3V3,None,Beaches-East York,19,None,None,None,"{""coordinates"": [[-79.29214486, 43.67111425]], ""type"": ""MultiPoint""}"
103,107,2023,Canary Park Gardening Volunteers,Bayview-Harris Plot,Multi-Residential Garden,1,23,166,None,Canary Park Condominium,120 Bayview Avenue,M5A 0G4,None,Toronto Centre,13,None,None,None,"{""coordinates"": [[-79.35447161, 43.65393888]], ""type"": ""MultiPoint""}"
