_id,ID,YEAR_FUNDED,GROUP_NAME,PROJECT_NAME,GARDEN_TYPE,NUMBER_OF_GARDENS,ESTIMATED_GARDEN_SIZE,NEIGHBOURHOOD_NUMBER,NIA_OR_EN,PRIMARY_LOCATION_NAME,PRIMARY_GARDEN_ADDRESS,POSTAL_CODE,IS_INDIGENOUS_GARDEN,WARD_NAME,WARD_NUMBER,DESCRIPTION,IMAGE_NAME,IMAGE_ALT_TEXT,geometry
139,143,2023,The Westway Butterfly Brigade,Westway Junior School Pollinator Garden,School Learning Garden,2,46.5,6,NIA,Westway Junior School,25 Poynter Drive,M9R 1K8,None,Etobicoke Centre,2,None,None,None,"{""coordinates"": [[-79.54899331, 43.69082212]], ""type"": ""MultiPoint""}"
140,144,2023,Trinity Food Systems Lab (TFS Lab),"Pollinator, Native Plant, Urban Ag Initiative",School Learning Garden,1,70,79,None,Trinity College - University of Toronto, 44 Devonshire Place,M5S 2E2,None,University-Rosedale,11,None,None,None,"{""coordinates"": [[-79.3978929, 43.66584192]], ""type"": ""MultiPoint""}"
141,145,2023,Warren Park JPS Parents and Teachers,Warren Park Pollinator Garden,School Learning Garden,3,37,114,None,Warren Park Junior Public School,135 Varsity Road,M6S 4P4,None,Parkdale-High Park,4,None,None,None,"{""coordinates"": [[-79.49944079, 43.66285134]], ""type"": ""MultiPoint""}"
142,146,2023,West Hill DD Program,Pollinator Gardens,School Learning Garden,1,11,136,NIA,West Hill Collegiate Institute,350 Morningside Avenue,M1E 3G3,None,Scarborough-Guildwood,24,None,None,None,"{""coordinates"": [[-79.19058756, 43.77566842]], ""type"": ""MultiPoint""}"
143,147,2023,Westmount JS Pollinator Club,Westmount Pollinator Garden,School Learning Garden,1,10,8,EN,Westmount Junior School,95 Chapman Road,M9P 1E9,Y,Etobicoke Centre,2,None,None,None,"{""coordinates"": [[-79.5196593, 43.68909613]], ""type"": ""MultiPoint""}"
144,148,2023,William Burgess Public School,William Burgess School Garden,School Learning Garden,1,11,58,None,William Burgess Public School,100 Torrens Avenue,M4J 2P5,None,Toronto-Danforth,14,None,None,None,"{""coordinates"": [[-79.34815773, 43.69192773]], ""type"": ""MultiPoint""}"
145,149,2023,William Lyon Mackenzie C.I. Gardening Club,Lyons Pollinator Gardens,School Learning Garden,1,2023,34,None,William Lyon Mackenzie Collegiate Institute,20 Tillplain Road,M3H 5R2,None,York Centre,6,None,None,None,"{""coordinates"": [[-79.46189416, 43.75347096]], ""type"": ""MultiPoint""}"
146,150,2024,40 Homewood Gardening Committee,40 Homewood Pollinator Gardens,Multiple Front Yard Gardens,2,100,71,None,Private Residential Property,40 Homewood Ave.,M4Y 2K2,None,Toronto Centre,13,None,None,None,"{""coordinates"": [[-79.37553505, 43.66422881]], ""type"": ""MultiPoint""}"
147,151,2024,Bala Garden Committee & School Advisory Council,Woodland Garden,School Learning Garden,4,65,115,NIA,Bala Avenue Community School,6 Bala Ave.,M6M 4W5,None,York South-Weston,5,None,None,None,"{""coordinates"": [[-79.49901228, 43.68946222]], ""type"": ""MultiPoint""}"
148,152,2024,Bendale Butterflyway,Knob Hill Native Plant Gardens,City Park,3,11,138,NIA,Knob Hill Park,625 Brimley Rd.,M1J 1B7,None,Scarborough Centre,21,None,None,None,"{""coordinates"": [[-79.25026563, 43.74279241]], ""type"": ""MultiPoint""}"
